artist_name,total_plays,total_minutes,skip_rate,loyalty_score
Before You Exit,1,3.1486666666666667,0.0,1.0
Bellie Raj,1,3.652933333333333,1.0,0.0
Beneld,5,6.81225,0.6,2.0
Benny Dayal,36,90.76378333333332,0.4722222222222222,19.0
Besomorph,1,0.6324833333333333,0.0,1.0
Bheems Ceciroleo,2,3.68725,1.0,0.0
Big Sean,1,5.332883333333333,0.0,1.0
Billie Eilish,165,323.77543333333335,0.3696969696969697,104.00000000000001
Black Eyed Peas,6,18.209616666666665,0.8333333333333334,0.9999999999999998
Black Math,2,3.318033333333333,0.5,1.0
Block B,1,0.5365833333333333,0.0,1.0
Blu Cantrell,21,66.28965,0.2857142857142857,15.0
Bobby Caldwell,1,1.5290833333333331,0.0,1.0
Bobby Sessions,1,0.3053333333333333,1.0,0.0
Bobo Shashi,28,34.018,0.6428571428571429,9.999999999999998
Bombay Jayashri,3,3.7639499999999995,0.6666666666666666,1.0
Bora Media,1,3.53785,0.0,1.0
Brandon Beal,4,6.982966666666667,0.5,2.0
Brent Faiyaz,3,2.9373,0.6666666666666666,1.0
Bri Tolani,25,54.285266666666665,0.44,14.000000000000002
Brian Crawford,2,0.1530166666666666,1.0,0.0
Brielle Von Hugel,2,4.656533333333334,0.0,2.0
Britney Spears,15,37.95768333333333,0.3333333333333333,10.000000000000002
Brodha V,10,27.507366666666666,0.4,6.0
Bruno Major,4,7.830416666666666,0.5,2.0
Bruno Mars,1,0.3106666666666666,1.0,0.0
Bryson Tiller,1,3.2435666666666667,0.0,1.0
CARYS,51,148.45043333333334,0.13725490196078433,44.0
CG5,1,2.3011666666666666,0.0,1.0
CHANYEOL,63,163.64658333333333,0.1746031746031746,52.0
CHUNG HA,1,0.0833333333333333,1.0,0.0
CKay,55,124.69898333333333,0.2727272727272727,40.0
CORSAK,1,0.1982166666666666,1.0,0.0
Caleb Belkin,1,2.328183333333333,0.0,1.0
Calma Interiore,2,2.8619833333333333,0.5,1.0
Calvin Harris,10,24.747516666666666,0.5,5.0
Camila Cabello,98,242.76899999999998,0.23469387755102042,75.0
Cannons,66,184.25183333333334,0.2727272727272727,48.0
Cardi B,96,220.8663,0.3333333333333333,64.0
Carla Wehbe,1,1.0076333333333334,0.0,1.0
Casey Edwards,4,9.260466666666666,0.75,1.0
